OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036HS,2026-08-17T10:37:42.049920,14.61869237,.00227419,74.0121,21.6282,79.0934,311.6946,0,U,34031,999,92183,.4650556E-3,.2304E-4,0
COSMOS 2251 DEB,1993-036HW,2026-08-17T11:23:57.439968,14.54502906,.00406914,74.0610,242.1201,189.6765,321.0363,0,U,34035,999,91565,.51707966E-3,.2199E-4,0
COSMOS 2251 DEB,1993-036HX,2026-08-17T11:26:05.574624,15.21559983,.00103569,74.0040,358.7797,2.7802,357.3452,0,U,34036,999,92304,.25697733E-2,.58454E-3,0
COSMOS 2251 DEB,1993-036HY,2026-08-17T05:10:43.557888,14.35312891,.00548808,74.0520,317.2178,306.5635,53.0473,0,U,34037,999,91267,.20058986E-3,.558E-5,0
COSMOS 2251 DEB,1993-036JB,2026-08-17T10:20:18.602304,13.69150413,.03357763,73.9582,16.2898,281.1344,75.2198,0,U,34040,999,86989,.93243591E-3,.1174E-4,0
COSMOS 2251 DEB,1993-036JG,2026-08-17T09:26:26.375712,14.34179455,.00276041,74.0367,217.6429,244.4304,266.8235,0,U,34045,999,91583,.42364308E-4,.93E-6,0
COSMOS 2251 DEB,1993-036JH,2026-08-17T03:35:50.794944,14.48399177,.0078563,74.0357,267.6751,290.4690,126.4945,0,U,34046,999,91406,.37421334E-3,.1427E-4,0
COSMOS 2251 DEB,1993-036JM,2026-08-17T04:27:25.733664,13.96728020,.02189068,74.0879,305.3308,310.4475,74.6436,0,U,34050,999,88886,.41141954E-3,.674E-5,0
COSMOS 2251 DEB,1993-036JQ,2026-08-17T07:29:28.518432,13.49399237,.04241922,73.8431,203.0790,310.3684,46.1094,0,U,34053,999,86023,.32586575E-3,.334E-5,0
COSMOS 2251 DEB,1993-036JT,2026-08-17T14:45:10.823040,14.21941687,.01260346,74.0588,352.5173,341.2031,31.0189,0,U,34056,999,89933,.55526245E-3,.1303E-4,0
COSMOS 2251 DEB,1993-036JV,2026-08-17T04:43:00.141888,13.56341067,.03772563,73.9330,136.9080,85.2200,72.7106,0,U,34058,999,86497,.48115252E-3,.517E-5,0
COSMOS 2251 DEB,1993-036JW,2026-08-17T00:25:11.928288,14.54184449,.00176064,74.0361,79.2300,96.4700,53.6798,0,U,34059,999,92052,.2819872E-3,.1167E-4,0
COSMOS 2251 DEB,1993-036JY,2026-08-17T06:00:45.537984,14.40795620,.00207151,74.0394,165.6883,189.7289,322.2953,0,U,34061,999,91744,.15320471E-3,.465E-5,0
COSMOS 2251 DEB,1993-036JZ,2026-08-17T09:45:27.356832,14.85611871,.00679048,74.0270,7.8169,23.2290,4.0634,0,U,34062,999,92266,.7305796E-3,.6562E-4,0
COSMOS 2251 DEB,1993-036KB,2026-08-17T07:20:01.196160,14.43053019,.00223605,74.0324,171.2758,185.3536,336.7386,0,U,34064,999,91712,.19177515E-3,.618E-5,0
COSMOS 2251 DEB,1993-036KC,2026-08-17T12:35:34.080000,14.38274389,.00171132,74.0361,161.6177,206.8756,270.1388,0,U,34065,999,91767,.66622528E-4,.177E-5,0
COSMOS 2251 DEB,1993-036KH,2026-08-17T14:28:24.222432,14.83938445,.00192556,74.0001,346.2047,36.4690,336.7949,0,U,34070,999,92280,.10076214E-2,.8379E-4,0
COSMOS 2251 DEB,1993-036KK,2026-08-17T15:21:02.207232,14.60639929,.00435092,74.0563,292.2498,232.2949,281.2113,0,U,34114,999,91416,.81837549E-3,.4007E-4,0
COSMOS 2251 DEB,1993-036KL,2026-08-17T02:26:18.538944,14.83122642,.00304772,74.0045,112.5982,231.8734,127.9696,0,U,34115,999,93075,.44869114E-3,.3652E-4,0
COSMOS 2251 DEB,1993-036KM,2026-08-17T01:01:53.381280,14.54351519,.00111937,74.0386,75.6819,94.3563,59.1510,0,U,34116,999,92080,.29759384E-3,.1237E-4,0
COSMOS 2251 DEB,1993-036KN,2026-08-17T12:24:49.143744,14.40875396,.00585436,74.0362,245.6652,263.6365,95.8121,0,U,34117,999,91691,.2385086E-3,.753E-5,0
COSMOS 2251 DEB,1993-036KP,2026-08-17T02:07:43.678272,15.04000383,.00540373,73.9469,104.4308,230.1514,282.1227,0,U,34118,999,92883,.79824872E-3,.11366E-3,0
COSMOS 2251 DEB,1993-036KR,2026-08-17T11:11:18.136896,13.98905455,.01832394,73.9928,147.0124,280.6210,203.5800,0,U,34120,999,89444,.15483777E-3,.232E-5,0
COSMOS 2251 DEB,1993-036KS,2026-08-17T11:13:35.016960,13.92738036,.02375524,73.9914,32.3119,184.2523,207.4412,0,U,34121,999,88573,.75232499E-3,.1203E-4,0
COSMOS 2251 DEB,1993-036KT,2026-08-17T08:35:19.001184,14.67942727,.00791282,74.0370,0.9706,194.7983,195.8312,0,U,34122,999,92315,.68720536E-3,.4093E-4,0
COSMOS 2251 DEB,1993-036KY,2026-08-16T15:48:10.424736,14.33384641,.01097013,74.1776,316.8781,85.3808,34.1439,0,U,34127,999,90307,.5743738E-3,.167E-4,0
COSMOS 2251 DEB,1993-036KZ,2026-08-17T05:41:25.490976,15.19060476,.00246699,73.9871,144.3130,203.7234,279.0146,0,U,34128,999,92903,.1485018E-2,.31481E-3,0
